Grain size 		  t (us)
1 		 12885
6 		 9006
11 		 8605
16 		 8923
21 		 9955
26 		 8897
31 		 8085
36 		 8246
41 		 8083
46 		 9893
51 		 8343
56 		 8540
61 		 8667
66 		 8344
71 		 9027
76 		 8165
81 		 7884
86 		 8697
91 		 8446
96 		 8396
101 		 10278
106 		 11727
111 		 10507
116 		 10628
121 		 10385
126 		 10908
131 		 10729
136 		 9957
141 		 10166
146 		 10595
151 		 10632
156 		 12918
161 		 9748
166 		 9700
171 		 10500
176 		 10116
181 		 11854
186 		 10778
191 		 10313
196 		 10429
201 		 21200
206 		 21602
211 		 20974
216 		 21272
221 		 21167
226 		 20855
231 		 20741
236 		 21502
241 		 20903
246 		 21611
251 		 20976
256 		 22019
261 		 21080
266 		 21579
271 		 21659
276 		 21265
281 		 21248
286 		 20521
291 		 22031
296 		 20887
301 		 20637
306 		 20966
311 		 21234
316 		 20741
321 		 20794
326 		 21721
331 		 21199
336 		 21108
341 		 21143
346 		 20994
351 		 22208
356 		 22793
361 		 21062
366 		 21279
371 		 20708
376 		 20728
381 		 21266
386 		 20875
391 		 21013
396 		 22217
401 		 29944
406 		 30507
411 		 30356
416 		 30800
421 		 30299
426 		 30299
431 		 30114
436 		 30109
441 		 29705
446 		 30182
451 		 32862
456 		 30283
461 		 30238
466 		 30146
471 		 33082
476 		 30282
481 		 29892
486 		 30476
491 		 30224
496 		 29853
501 		 30841
506 		 30162
511 		 30188
516 		 29860
521 		 30240
526 		 29271
531 		 29837
536 		 29488
541 		 30224
546 		 30987
551 		 30374
556 		 29851
561 		 29981
566 		 32028
571 		 33842
576 		 30606
581 		 29999
586 		 30615
591 		 30558
596 		 30458
601 		 30186
606 		 30018
611 		 31662
616 		 31503
621 		 29955
626 		 30019
631 		 29817
636 		 30128
641 		 30068
646 		 30519
651 		 30030
656 		 30189
661 		 30271
666 		 32717
671 		 31835
676 		 30285
681 		 30261
686 		 30966
691 		 29647
696 		 30309
701 		 29138
706 		 30517
711 		 30393
716 		 30060
721 		 30352
726 		 30479
731 		 29746
736 		 29879
741 		 32234
746 		 32395
751 		 30925
756 		 30736
761 		 30326
766 		 30412
771 		 30055
776 		 29874
781 		 30596
786 		 30510
791 		 30569
796 		 30173
